t,phy,det,v,stat
-0.007925,-2.7573343461030552e-06,-0.00010545913934935804,,
-0.00792,2.976826111729716e-07,2.4892412828184315e-07,,
-0.007915,7.437726487967072e-07,8.59814714033934e-06,,
-0.00791,-8.744755940546952e-07,8.651008973331928e-05,,
-0.007905,1.4200946401307406e-06,-1.8767151124594492e-07,,
-0.0079,1.956056545857827e-05,-8.72183565488734e-06,,
-0.007895,-1.7128942786847417e-05,-6.479617262462744e-05,,
-0.007890000000000001,5.503539547222616e-06,-1.4698138523485868e-07,,
-0.007885,6.578380011413049e-06,8.402496971231302e-06,,
-0.00788,1.6027183041124994e-06,4.177343558148035e-05,,
-0.007875,-2.0923087265627072e-06,7.049223559315191e-07,,
-0.00787,-1.6193010228453673e-06,-7.717981036761346e-06,,
-0.007865,2.37301621750938e-08,-1.875030597255307e-05,,
-0.00786,-1.2176819404810854e-06,-1.4207049126224208e-06,,
-0.007855000000000001,-4.229297845219638e-06,6.759395898270988e-06,,
-0.00785,1.1356882283642454e-07,-3.1707939109113536e-06,,
-0.007845000000000001,-0.00010180950860657638,2.2214834626644687e-06,,
-0.00784,-1.0663797948397307e-05,-5.6222685616586665e-06,,
-0.007835,1.5328239796980837e-06,2.312529071237501e-05,,
-0.00783,4.399369161745122e-06,-3.0341762796212213e-06,,
-0.007825,1.781800623258292e-06,4.399057443859903e-06,,
-0.00782,-5.580809440132028e-07,-4.0495246714259426e-05,,
-0.007815,1.4972040862233707e-07,3.791364515264237e-06,,
-0.00781,1.0640872016562703e-06,-3.173348561072717e-06,,
-0.007805,-2.4111252274161564e-06,5.48996332441716e-05,,
-0.0078,-1.0888279125456936e-05,-4.435652715700918e-06,,
-0.007795,-2.935623034703515e-05,2.01585301378816e-06,,
-0.00779,-1.248362243970072e-05,-6.6171022061194e-05,,
-0.007785,-7.765694575410426e-06,4.922453559360813e-06,,
-0.0077800000000000005,-8.819287773828441e-07,-9.821423803148916e-07,,
-0.007775000000000001,1.9921793021513905e-06,7.432350180054735e-05,,
-0.00777,8.185149726953732e-07,-5.221265010839899e-06,,
-0.007765,-9.789586330538362e-08,1.1191108884794195e-07,,
-0.00776,1.913594733923082e-06,-7.951611779450323e-05,,
-0.007755,3.916560906221715e-06,5.31568067479431e-06,,
-0.00775,-8.362581160855665e-07,5.705093201238225e-07,,
-0.007745,-2.7761688281074327e-05,8.2015379260744e-05,,
-0.00774,2.23249529307891e-05,-5.2023726088306345e-06,,
-0.0077350000000000006,-2.2990626483300533e-06,-1.0547017687986647e-06,,
-0.007730000000000001,-4.481273218703737e-06,-8.215960196976971e-05,,
-0.007725,-1.3971708261979052e-06,4.889353556266908e-06,,
-0.00772,2.647822677499483e-07,1.3420985173271155e-06,,
